RT @F1Gate: フェラーリF1エンジン勢のF1プレシーズンテストでの“大量の煙”が話題 https://t.co/wZPwezblcD #F1 #F1jp #Formula1,negative,RT @F1Gate: フェラーリF1エンジン勢のF1プレシーズンテストでの“大量の煙”が話題 https://t.co/wZPwezblcD #F1 #F1jp #Formula1
"RT @F1: A dash of yellow, some red and lots of purple 

#AusGP tyre selections &gt;&gt; https://t.co/NgYJqhUcJT

#F1 🇦🇺 https://t.co/RlLhVHIlEW",negative,"RT @F1: A dash of yellow, some red and lots of purple 

#AusGP tyre selections &gt;&gt; https://t.co/NgYJqhUcJT

#F1 🇦🇺 https://t.co/RlLhVHIlEW"
RT @F1: FIA Deputy Race Director Laurent Mekies to join @ScuderiaFerrari's technical team &gt;&gt; https://t.co/vP8wMCNGhR #F1 https://t.co/Lpjc8…,negative,RT @F1: FIA Deputy Race Director Laurent Mekies to join @ScuderiaFerrari's technical team &gt;&gt; https://t.co/vP8wMCNGhR #F1 https://t.co/Lpjc8…
Laurent Mekies To Leave #FIA to Join Ferrari Technical Line-up https://t.co/YL6ej8S2UU #F1 #Motorsport #formula1,negative,Laurent Mekies To Leave #FIA to Join Ferrari Technical Line-up https://t.co/YL6ej8S2UU #F1 #Motorsport #formula1
RT @F1: FIA Deputy Race Director Laurent Mekies to join @ScuderiaFerrari's technical team &gt;&gt; https://t.co/vP8wMCNGhR #F1 https://t.co/Lpjc8…,negative,RT @F1: FIA Deputy Race Director Laurent Mekies to join @ScuderiaFerrari's technical team &gt;&gt; https://t.co/vP8wMCNGhR #F1 https://t.co/Lpjc8…
Is Daniel Riccairdo the best overtaker on the F1 grid today? #RB14 #F1 #Formula1 https://t.co/SmzgxYKxrq,positive,Is Daniel Riccairdo the best overtaker on the F1 grid today? #RB14 #F1 #Formula1 https://t.co/SmzgxYKxrq
"RT @F1: Who showed their hand, and who's got more pace to come? 🤔

Here's everything we learned from #F1Testing &gt;&gt; https://t.co/41f5PBsjBJ…",positive,"RT @F1: Who showed their hand, and who's got more pace to come? 🤔

Here's everything we learned from #F1Testing &gt;&gt; https://t.co/41f5PBsjBJ…"
RT @F1: 👀 Tyre choices for Melbourne &gt;&gt; https://t.co/NgYJqhUcJT #F1 #AusGP https://t.co/Hfyc9B6GYT,negative,RT @F1: 👀 Tyre choices for Melbourne &gt;&gt; https://t.co/NgYJqhUcJT #F1 #AusGP https://t.co/Hfyc9B6GYT
"RT @F1: “It will take time to deliver and to improve”

Sauber 🤝 Alfa Romeo will be a long-term project, says Frederic Vasseur
https://t.co/…",negative,"RT @F1: “It will take time to deliver and to improve”

Sauber 🤝 Alfa Romeo will be a long-term project, says Frederic Vasseur
https://t.co/…"
"formula1 starts again in 11 days and i’m really excited about that what i’m not excited about is, is that it will s… https://t.co/OjZ709ntk3",positive,"formula1 starts again in 11 days and i’m really excited about that what i’m not excited about is, is that it will s… https://t.co/OjZ709ntk3"
"RT @uzapelloni: Quel genio di #stephenhawking il suo amore per la @F1 e l’amicizia con Frank #Williams. Nel mio blog su #topspeed #Gds
http…",negative,"RT @uzapelloni: Quel genio di #stephenhawking il suo amore per la @F1 e l’amicizia con Frank #Williams. Nel mio blog su #topspeed #Gds
http…"
"RT @F1: The fastest, busiest, most improved teams &amp; more 

We crunch the key numbers from 2018 #F1Testing
&gt;&gt; https://t.co/Fw9CHxyM08

#F1 #…",positive,"RT @F1: The fastest, busiest, most improved teams &amp; more 

We crunch the key numbers from 2018 #F1Testing
&gt;&gt; https://t.co/Fw9CHxyM08

#F1 #…"
"RT @F1: A dash of yellow, some red and lots of purple 

#AusGP tyre selections &gt;&gt; https://t.co/NgYJqhUcJT

#F1 🇦🇺 https://t.co/RlLhVHIlEW",negative,"RT @F1: A dash of yellow, some red and lots of purple 

#AusGP tyre selections &gt;&gt; https://t.co/NgYJqhUcJT

#F1 🇦🇺 https://t.co/RlLhVHIlEW"
RT @F1Gate: フェラーリF1エンジン勢のF1プレシーズンテストでの“大量の煙”が話題 https://t.co/wZPwezblcD #F1 #F1jp #Formula1,negative,RT @F1Gate: フェラーリF1エンジン勢のF1プレシーズンテストでの“大量の煙”が話題 https://t.co/wZPwezblcD #F1 #F1jp #Formula1
"Fun Facts About the Tyrell P34, One of the Most Unique Formula1 Racers in History https://t.co/DeLhTm49Xh https://t.co/7heNV7ejKE",positive,"Fun Facts About the Tyrell P34, One of the Most Unique Formula1 Racers in History https://t.co/DeLhTm49Xh https://t.co/7heNV7ejKE"
